param,training_score,testing_score,precision_draw,precision_lose,precision_win,recall_draw,recall_lose,recall_win,f1_draw,f1_lose,f1_win,n_estimators
LaLiga_Bet365_alt_4_knn,0.9993698802772527,0.5335221907459868,0.41,0.48,0.63,0.4,0.48,0.65,0.4,0.48,0.64,5
LaLiga_Bet365_alt_4_nn,0.47542533,0.48536354,0.33,0.41,0.5,0.01,0.29,0.89,0.03,0.34,0.64,N/A
LaLiga_Bet365_alt_3_rf,0.998109640831758,0.49291784702549574,0.41,0.58,0.67,0.53,0.42,0.65,0.46,0.49,0.66,N/A
LaLiga_Bet365_alt_3_svm,0.48897290485192185,0.493862134088763,0.36,0.51,0.51,0.12,0.18,0.9,0.18,0.27,0.65,N/A
LaLiga_Bet365_alt_3_knn,0.9987397605545053,0.5165250236071766,0.4,0.45,0.62,0.39,0.44,0.64,0.4,0.45,0.63,5
LaLiga_Bet365_alt_3_nn,0.4826717,0.4891407,0.36,0.41,0.51,0.05,0.23,0.9,0.09,0.3,0.65,N/A
LaLiga_WilliamHill_ori_4_rf,0.9988163244300344,0.715961716579191,0.66,0.73,0.79,0.71,0.66,0.79,0.68,0.69,0.79,N/A
LaLiga_WilliamHill_ori_4_svm,0.5354845350213576,0.5140475455387465,0.44,0.57,0.52,0.2,0.27,0.87,0.27,0.36,0.65,N/A
LaLiga_WilliamHill_ori_4_knn,0.999022181050898,0.7205927755480086,0.67,0.69,0.77,0.65,0.68,0.79,0.66,0.68,0.78,5
LaLiga_WilliamHill_ori_4_nn,0.53229374,0.521766,0.41,0.5,0.56,0.25,0.36,0.8,0.31,0.42,0.66,N/A
LaLiga_WilliamHill_ori_3_rf,0.9978385054809326,0.6847792528558196,0.62,0.72,0.76,0.68,0.63,0.77,0.65,0.67,0.77,N/A
LaLiga_WilliamHill_ori_3_svm,0.5355874633317894,0.51497375733251,0.44,0.58,0.52,0.21,0.26,0.87,0.29,0.36,0.65,N/A
LaLiga_WilliamHill_ori_3_knn,0.9981472904122278,0.6968200061747453,0.65,0.67,0.74,0.62,0.66,0.77,0.64,0.66,0.76,5
LaLiga_WilliamHill_ori_3_nn,0.51402396,0.4955233,0.0,0.45,0.51,0.0,0.37,0.9,0.0,0.4,0.65,N/A
LaLiga_WilliamHill_alt_4_rf,0.9985811732605729,0.7094450810279915,0.63,0.72,0.8,0.71,0.66,0.78,0.67,0.69,0.79,N/A
LaLiga_WilliamHill_alt_4_svm,0.5227830832196453,0.5313471926665575,0.41,0.6,0.54,0.19,0.29,0.88,0.26,0.39,0.67,N/A
LaLiga_WilliamHill_alt_4_knn,0.9989085948158254,0.7182844982812244,0.65,0.68,0.78,0.68,0.67,0.77,0.66,0.67,0.78,5
LaLiga_WilliamHill_alt_4_nn,0.5231105,0.5339663,0.39,0.53,0.58,0.28,0.36,0.79,0.32,0.43,0.67,N/A
LaLiga_WilliamHill_alt_3_rf,0.9976534788540246,0.6747421836634474,0.59,0.69,0.77,0.68,0.62,0.75,0.63,0.65,0.76,N/A
LaLiga_WilliamHill_alt_3_svm,0.5219099590723056,0.5280733344246195,0.4,0.61,0.54,0.18,0.28,0.89,0.25,0.38,0.67,N/A
LaLiga_WilliamHill_alt_3_knn,0.9978171896316508,0.6924210181699132,0.62,0.65,0.76,0.65,0.64,0.75,0.64,0.65,0.75,5
LaLiga_WilliamHill_alt_3_nn,0.526603,0.5356032,0.4,0.54,0.58,0.3,0.31,0.81,0.34,0.39,0.67,N/A
LaLiga_Bwin_ori_4_rf,1.0,0.40350877192982454,0.38,0.43,0.61,0.49,0.36,0.55,0.43,0.39,0.58,N/A
LaLiga_Bwin_ori_4_svm,0.5204878048780488,0.5043859649122807,0.43,0.57,0.51,0.2,0.26,0.84,0.27,0.36,0.63,N/A
LaLiga_Bwin_ori_4_knn,1.0,0.47368421052631576,0.41,0.35,0.59,0.36,0.43,0.58,0.38,0.39,0.58,5
LaLiga_Bwin_ori_4_nn,0.5121951,0.5131579,0.51,0.47,0.52,0.16,0.33,0.85,0.25,0.39,0.65,N/A
LaLiga_Bwin_ori_3_rf,1.0,0.40497076023391815,0.4,0.44,0.62,0.54,0.36,0.54,0.46,0.39,0.58,N/A
LaLiga_Bwin_ori_3_svm,0.5219512195121951,0.5087719298245614,0.46,0.59,0.51,0.21,0.25,0.85,0.29,0.35,0.63,N/A
LaLiga_Bwin_ori_3_knn,1.0,0.4619883040935672,0.42,0.35,0.56,0.36,0.43,0.55,0.39,0.38,0.56,5
LaLiga_Bwin_ori_3_nn,0.5009756,0.49122807,0.0,0.44,0.5,0.0,0.37,0.89,0.0,0.41,0.64,N/A
LaLiga_Bwin_alt_4_rf,1.0,0.4518633540372671,0.35,0.53,0.7,0.59,0.34,0.56,0.44,0.42,0.62,N/A
LaLiga_Bwin_alt_4_svm,0.5225505443234837,0.5279503105590062,0.4,0.68,0.54,0.22,0.2,0.88,0.28,0.3,0.67,N/A
LaLiga_Bwin_alt_4_knn,1.0,0.5108695652173914,0.41,0.43,0.63,0.44,0.44,0.59,0.42,0.43,0.61,5
LaLiga_Bwin_alt_4_nn,0.5007776,0.5124224,0.34,0.53,0.53,0.13,0.24,0.88,0.19,0.33,0.66,N/A
LaLiga_Bwin_alt_3_rf,1.0,0.42701863354037267,0.34,0.5,0.67,0.59,0.28,0.54,0.43,0.36,0.6,N/A
LaLiga_Bwin_alt_3_svm,0.5194401244167963,0.5263975155279503,0.4,0.68,0.53,0.21,0.2,0.89,0.27,0.3,0.67,N/A
LaLiga_Bwin_alt_3_knn,1.0,0.4968944099378882,0.4,0.43,0.62,0.46,0.45,0.54,0.43,0.44,0.58,5
LaLiga_Bwin_alt_3_nn,0.5173665,0.54037267,0.46,0.58,0.55,0.24,0.23,0.88,0.32,0.33,0.68,N/A
LaLiga_12Bet_ori_4_rf,0.9988477366255144,0.7920205411811179,0.72,0.84,0.88,0.83,0.78,0.83,0.77,0.81,0.85,N/A
LaLiga_12Bet_ori_4_svm,0.5249053497942386,0.5158009085522417,0.43,0.64,0.53,0.4,0.19,0.8,0.42,0.29,0.64,N/A
LaLiga_12Bet_ori_4_knn,0.9989135802469136,0.8086114951609717,0.76,0.8,0.85,0.78,0.8,0.84,0.77,0.8,0.84,5
